,URL
106,https://www.congress.gov/bill/117th-congress/senate-bill/4884
107,https://www.congress.gov/bill/117th-congress/senate-bill/4883
108,https://www.congress.gov/bill/117th-congress/senate-bill/4850
109,https://www.congress.gov/bill/117th-congress/senate-bill/4833
110,https://www.congress.gov/bill/117th-congress/senate-bill/4819
111,https://www.congress.gov/bill/117th-congress/senate-bill/4815
112,https://www.congress.gov/bill/117th-congress/senate-bill/4774
113,https://www.congress.gov/bill/117th-congress/senate-bill/4711
114,https://www.congress.gov/bill/117th-congress/senate-bill/4683
115,https://www.congress.gov/bill/117th-congress/senate-bill/4639
116,https://www.congress.gov/bill/117th-congress/senate-bill/4559
117,https://www.congress.gov/bill/117th-congress/senate-bill/4548
118,https://www.congress.gov/bill/117th-congress/senate-bill/4510
119,https://www.congress.gov/bill/117th-congress/senate-bill/4420
120,https://www.congress.gov/bill/117th-congress/senate-bill/4415
121,https://www.congress.gov/bill/117th-congress/senate-bill/4321
122,https://www.congress.gov/bill/117th-congress/senate-bill/4280
123,https://www.congress.gov/bill/117th-congress/senate-bill/4279
124,https://www.congress.gov/bill/117th-congress/senate-bill/4244
125,https://www.congress.gov/bill/117th-congress/senate-bill/4161
126,https://www.congress.gov/bill/117th-congress/senate-bill/4076
127,https://www.congress.gov/bill/117th-congress/senate-bill/4041
128,https://www.congress.gov/bill/117th-congress/senate-bill/3957
129,https://www.congress.gov/bill/117th-congress/senate-bill/3893
130,https://www.congress.gov/bill/117th-congress/senate-bill/3843
131,https://www.congress.gov/bill/117th-congress/senate-bill/3774
132,https://www.congress.gov/bill/117th-congress/senate-bill/3743
133,https://www.congress.gov/bill/117th-congress/senate-bill/3742
134,https://www.congress.gov/bill/117th-congress/senate-bill/3676
135,https://www.congress.gov/bill/117th-congress/senate-bill/3651
136,https://www.congress.gov/bill/117th-congress/senate-bill/3571
137,https://www.congress.gov/bill/117th-congress/senate-bill/3531
138,https://www.congress.gov/bill/117th-congress/senate-bill/3507
139,https://www.congress.gov/bill/117th-congress/senate-bill/3484
140,https://www.congress.gov/bill/117th-congress/senate-bill/3456
141,https://www.congress.gov/bill/117th-congress/senate-bill/3451
142,https://www.congress.gov/bill/117th-congress/senate-bill/3400
143,https://www.congress.gov/bill/117th-congress/senate-bill/3355
144,https://www.congress.gov/bill/117th-congress/senate-bill/3315
145,https://www.congress.gov/bill/117th-congress/senate-bill/3305
146,https://www.congress.gov/bill/117th-congress/senate-bill/3283
147,https://www.congress.gov/bill/117th-congress/senate-bill/3282
148,https://www.congress.gov/bill/117th-congress/senate-bill/3277
149,https://www.congress.gov/bill/117th-congress/senate-bill/3245
150,https://www.congress.gov/bill/117th-congress/senate-bill/3211
151,https://www.congress.gov/bill/117th-congress/senate-bill/3156
152,https://www.congress.gov/bill/117th-congress/senate-bill/3069
153,https://www.congress.gov/bill/117th-congress/senate-bill/3031
154,https://www.congress.gov/bill/117th-congress/senate-bill/2994
155,https://www.congress.gov/bill/117th-congress/senate-bill/2949
156,https://www.congress.gov/bill/117th-congress/senate-bill/2836
157,https://www.congress.gov/bill/117th-congress/senate-bill/2736
158,https://www.congress.gov/bill/117th-congress/senate-bill/2661
159,https://www.congress.gov/bill/117th-congress/senate-bill/2660
160,https://www.congress.gov/bill/117th-congress/senate-bill/2630
161,https://www.congress.gov/bill/117th-congress/senate-bill/2613
162,https://www.congress.gov/bill/117th-congress/senate-bill/2567
163,https://www.congress.gov/bill/117th-congress/senate-bill/2552
164,https://www.congress.gov/bill/117th-congress/senate-bill/2517
165,https://www.congress.gov/bill/117th-congress/senate-bill/2476
166,https://www.congress.gov/bill/117th-congress/senate-bill/2454
167,https://www.congress.gov/bill/117th-congress/senate-bill/2437
168,https://www.congress.gov/bill/117th-congress/senate-bill/2421
169,https://www.congress.gov/bill/117th-congress/senate-bill/2406
170,https://www.congress.gov/bill/117th-congress/senate-bill/2389
171,https://www.congress.gov/bill/117th-congress/senate-bill/2385
172,https://www.congress.gov/bill/117th-congress/senate-bill/2372
173,https://www.congress.gov/bill/117th-congress/senate-bill/2347
174,https://www.congress.gov/bill/117th-congress/senate-bill/2339
175,https://www.congress.gov/bill/117th-congress/senate-bill/2324
176,https://www.congress.gov/bill/117th-congress/senate-bill/2285
177,https://www.congress.gov/bill/117th-congress/senate-bill/2272
178,https://www.congress.gov/bill/117th-congress/senate-bill/2213
179,https://www.congress.gov/bill/117th-congress/senate-bill/2194
180,https://www.congress.gov/bill/117th-congress/senate-bill/2177
181,https://www.congress.gov/bill/117th-congress/senate-bill/2168
182,https://www.congress.gov/bill/117th-congress/senate-bill/2070
183,https://www.congress.gov/bill/117th-congress/senate-bill/1918
184,https://www.congress.gov/bill/117th-congress/senate-bill/1907
185,https://www.congress.gov/bill/117th-congress/senate-bill/1906
186,https://www.congress.gov/bill/117th-congress/senate-bill/1903
187,https://www.congress.gov/bill/117th-congress/senate-bill/1816
188,https://www.congress.gov/bill/117th-congress/senate-bill/1792
189,https://www.congress.gov/bill/117th-congress/senate-bill/1761
190,https://www.congress.gov/bill/117th-congress/senate-bill/1728
191,https://www.congress.gov/bill/117th-congress/senate-bill/1600
192,https://www.congress.gov/bill/117th-congress/senate-bill/1583
193,https://www.congress.gov/bill/117th-congress/senate-bill/1507
194,https://www.congress.gov/bill/117th-congress/senate-bill/1475
195,https://www.congress.gov/bill/117th-congress/senate-bill/1466
196,https://www.congress.gov/bill/117th-congress/senate-bill/1455
197,https://www.congress.gov/bill/117th-congress/senate-bill/1447
198,https://www.congress.gov/bill/117th-congress/senate-bill/1420
199,https://www.congress.gov/bill/117th-congress/senate-bill/1370
200,https://www.congress.gov/bill/117th-congress/senate-bill/1347
201,https://www.congress.gov/bill/117th-congress/senate-bill/1345
202,https://www.congress.gov/bill/117th-congress/senate-bill/1334
203,https://www.congress.gov/bill/117th-congress/senate-bill/1326
204,https://www.congress.gov/bill/117th-congress/senate-bill/1271
205,https://www.congress.gov/bill/117th-congress/senate-bill/1254
206,https://www.congress.gov/bill/117th-congress/senate-bill/1065
207,https://www.congress.gov/bill/117th-congress/senate-bill/1038
208,https://www.congress.gov/bill/117th-congress/senate-bill/984
209,https://www.congress.gov/bill/117th-congress/senate-bill/973
210,https://www.congress.gov/bill/117th-congress/senate-bill/966
211,https://www.congress.gov/bill/117th-congress/senate-bill/938
212,https://www.congress.gov/bill/117th-congress/senate-bill/923
213,https://www.congress.gov/bill/117th-congress/senate-bill/916
214,https://www.congress.gov/bill/117th-congress/senate-bill/873
215,https://www.congress.gov/bill/117th-congress/senate-bill/872
216,https://www.congress.gov/bill/117th-congress/senate-bill/843
217,https://www.congress.gov/bill/117th-congress/senate-bill/820
218,https://www.congress.gov/bill/117th-congress/senate-bill/809
219,https://www.congress.gov/bill/117th-congress/senate-bill/755
220,https://www.congress.gov/bill/117th-congress/senate-bill/721
221,https://www.congress.gov/bill/117th-congress/senate-bill/719
222,https://www.congress.gov/bill/117th-congress/senate-bill/718
223,https://www.congress.gov/bill/117th-congress/senate-bill/717
224,https://www.congress.gov/bill/117th-congress/senate-bill/716
225,https://www.congress.gov/bill/117th-congress/senate-bill/715
226,https://www.congress.gov/bill/117th-congress/senate-bill/685
227,https://www.congress.gov/bill/117th-congress/senate-bill/668
228,https://www.congress.gov/bill/117th-congress/senate-bill/667
229,https://www.congress.gov/bill/117th-congress/senate-bill/645
230,https://www.congress.gov/bill/117th-congress/senate-bill/572
231,https://www.congress.gov/bill/117th-congress/senate-bill/432
232,https://www.congress.gov/bill/117th-congress/senate-bill/362
233,https://www.congress.gov/bill/117th-congress/senate-bill/283
234,https://www.congress.gov/bill/117th-congress/senate-bill/276
235,https://www.congress.gov/bill/117th-congress/senate-bill/216
236,https://www.congress.gov/bill/117th-congress/senate-bill/193
237,https://www.congress.gov/bill/117th-congress/senate-bill/101
